French,English
partie,part
histoire,history
seulement,only
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
aucun,no
laisse,leash
chaque,each
arrivé,come
bébé,baby
longtemps,long time
heures,hours
aucune,any
attention,Warning
voici,here is
donner,give
leurs,their
train,train
endroit,place
écoute,listen
dont,whose
première,first
tiens,here
matin,morning
enfant,child
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
croire,believe
filles,girls
bureau,office
